Corn,1 ear,92,Vegetables A-E
cooked or canned,1 cup,170,Vegetables A-E
Cucumbers,8,6,Vegetables A-E
Dandelion greens,1 cup,80,Vegetables A-E
Eggplant,1 cup,30,Vegetables A-E
Endive,2 oz.,10,Vegetables A-E
Kale,1 cup,45,Vegetables F-P
Kohlrabi,1 cup,40,Vegetables F-P
"Lambs quarters, steamed",1 cup,48,Vegetables F-P
Lentils,1 cup,212,Vegetables F-P
Lettuce,1/4 head,14,Vegetables F-P
Iceberg,1/4 head,13,Vegetables F-P
Mushrooms canned,4,12,Vegetables F-P
Mustard greens,1,30,Vegetables F-P
Okra,1 1/3 cups,32,Vegetables F-P
Onions,1,80,Vegetables F-P
"Raw, green",6 small,22,Vegetables F-P
Parsley,2 T.,2,Vegetables F-P
Parsnips,1 cup,95,Vegetables F-P
Peas,1 cup,66,Vegetables F-P
"Fresh, steamed peas",1 cup,70,Vegetables R-Z
Frozen peas,1 cup,,Vegetables R-Z
Split cooked peas,4 cups,115,Vegetables R-Z
heated peas,1 cup,53,Vegetables R-Z
Peppers canned,1 pod,10,Vegetables R-Z
"Peppers Raw, green, sweet",1 large,25,Vegetables R-Z
Peppers with beef and crumbs,1 med.,255,Vegetables R-Z
"Potatoes, baked",1 med.,100,Vegetables R-Z
French-fried,10 pieces,155,Vegetables R-Z
Potatoes Mashed with milk and butter,1 cup,230,Vegetables R-Z
"Potatoes, pan-tried",3/4 cup,268,Vegetables R-Z
Scalloped with cheese potatoes,3/4 cup,145,Vegetables R-Z
Steamed potatoes before peeling,1 med.,80,Vegetables R-Z
Potato chips,10,110,Vegetables R-Z
Radishes,5 small,10,Vegetables R-Z
Rutabagas,4 cups,32,Vegetables R-Z
Soybeans,1 cup,260,Vegetables R-Z
Spinach,1 cup,26,Vegetables R-Z
Squash,1 cup,35,Vegetables R-Z
"Winter, mashed",1 cup,95,Vegetables R-Z
Sweet potatoes,1 med.,155,Vegetables R-Z
Candied,1 med.,235,Vegetables R-Z
